Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Great Tinamou,1,Radisson Summit Hotel and Golf Panama,PA-8,11 Apr 2018,L2521147,S44500369
2,Little Tinamou,2,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
3,Brown Tinamou,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
4,Black-bellied Whistling-Duck,3,Rio Rico Dr. ponds and fields,US-AZ,22 Jul 2012,L270322,S11253850
5,Lesser Whistling-Duck,20,Hlawga Park,MM-06,11 Jan 2017,L1899362,S33606771
6,Bar-headed Goose,6,Okhla Bird Sanctuary,IN-UP,01 Dec 2015,L2362886,S26084349
7,Emperor Goose,1,Seven Mile Slough (SAC Co.),US-CA,16 Mar 2016,L813800,S28257418
8,Snow Goose,,Sacramento NWR,US-CA,02 Jan 2009,L168785,S9839812
9,Ross's Goose,1,California City Central Park,US-CA,01 Jul 2012,L163614,S11088163
10,Graylag Goose,18,Kalindi Kinj Park,IN-DL,22 Feb 2011,L1089474,S10224783
11,Greater White-fronted Goose,,Sacramento River NWR--Llano Seco Unit (viewing platform),US-CA,02 Jan 2009,L419591,S9839845
12,Tundra Bean-Goose,800,Ganghwa Island (S),KR-28,23 Jan 2017,L5294048,S33894586
13,Pink-footed Goose,130,Útland--tjarnir við veg (roadside ponds),IS-7,13 Aug 2015,L1630979,S24630252
14,Brant,,Pillar Point Harbor,US-CA,29 May 2010,L242192,S9839957
15,Cackling Goose,,Blackwater National Wildlife Refuge,US-MD,08 Jan 2012,L126632,S9847704
16,Canada Goose,,Golden Gate Park--Stow Lake,US-CA,28 Sep 2008,L499374,S9839309
17,Hawaiian Goose,,Haleakala NP--Hosmer Grove,US-HI,23 Aug 2011,L247163,S9855168
18,Mute Swan,20,Île Rousseau,CH-GE,19 Aug 2010,L2768491,S9840249
19,Black Swan,80,Western Treatment Plant,AU-VIC,24 Sep 2011,L921850,S11312584
20,Trumpeter Swan,6,Lagoon Valley/Pena Adobe Regional Park,US-CA,30 Dec 2013,L470242,S16128829
21,Tundra Swan,,Sacramento NWR,US-CA,02 Jan 2009,L168785,S9839812
22,Whooper Swan,1,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,20 Nov 2010,L1484347,S9840789
23,Knob-billed Duck,1,Sarus Crane Wetlands Saifai near  Kirthua,IN-UP,07 Dec 2015,L4048185,S26190128
24,Egyptian Goose,2,Selous Game Reserve--North Sector,TZ-19,25 Jun 1999,L1328318,S46278323
25,Ruddy Shelduck,20,Ma Cheng,CN-13,18 Apr 2013,L2130261,S13841925
26,Paradise Shelduck,,Mangere WTP--Puketutu Canal,NZ-AUK,25 Sep 2011,L993625,S9847202
27,Muscovy Duck,4,Crandon Park,US-FL,12 May 2017,L127422,S36761226
28,Wood Duck,,Sacramento River NWR--Llano Seco Unit (viewing platform),US-CA,02 Jan 2009,L419591,S9839845
29,Mandarin Duck,4,千葉市--泉自然公園 (Chiba--Izumi Nature Park),JP-12,20 Nov 2010,L4150652,S9841051
30,Maned Duck,,Healesville,AU-VIC,18 Sep 2011,L1418180,S9847093
31,Brazilian Teal,1,Parque Barigui,BR-PR,09 Dec 2010,L2433781,S11312568
32,Garganey,1,"4142–4230 Jefferson Blvd, West Sacramento US-CA (38.5213,-121.5667)",US-CA,04 Mar 2019,L8757652,S53387081
33,Silver Teal,1,Parque Barigui,BR-PR,09 Dec 2010,L2433781,S11312568
34,Blue-winged Teal,1,Radio Rd.,US-CA,22 Jan 2011,L271480,S9845810
35,Cinnamon Teal,,Sacramento NWR,US-CA,02 Jan 2009,L168785,S9839812
36,Northern Shoveler,,Hogback Island,US-CA,28 Dec 2008,L1416868,S9839734
37,Gadwall,,Sacramento NWR,US-CA,02 Jan 2009,L168785,S9839812
38,Falcated Duck,,Ma Cheng,CN-13,18 Apr 2013,L2130261,S13841925
39,Eurasian Wigeon,,船橋市--ふなばし三番瀬海浜公園 (Funabashi--Funabashi Sanbanze Seaside Park),JP-12,20 Nov 2010,L1484347,S9840789
40,American Wigeon,,Sacramento NWR,US-CA,02 Jan 2009,L168785,S9839812
41,Pacific Black Duck,,Cummins Reserve and Wetlands,AU-VIC,19 Sep 2011,L1418196,S9847167
42,Indian Spot-billed Duck,40,Okhla Bird Sanctuary,IN-UP,01 Dec 2015,L2362886,S26084349
43,Eastern Spot-billed Duck,,新宿区--新宿御苑 (Shinjuku Ward--Shinjuku Gyoen National Garden),JP-13,18 Nov 2010,L1416996,S9840272
44,Mallard,,Golden Gate Park--Stow Lake,US-CA,28 Sep 2008,L499374,S9839309
45,Mexican Duck,2,Rio Rico Dr. ponds and fields,US-AZ,22 Jul 2012,L270322,S11253850
46,American Black Duck,2,Broadkill Beach,US-DE,08 Feb 2014,L483861,S16851158
47,Mottled Duck,,South Seas Island Resort (private),US-FL,26 Dec 2011,L1419373,S9855017
48,Northern Pintail,,Sacramento NWR,US-CA,02 Jan 2009,L168785,S9839812
49,Green-winged Teal,,Elkhorn Slough Reserve (NERR),US-CA,01 Jan 2009,L353255,S9839765
50,Chestnut Teal,2,Cummins Reserve and Wetlands,AU-VIC,19 Sep 2011,L1418196,S9847167
51,Red-crested Pochard,,Rade de Genève (Geneva Bay),CH-GE,23 May 2011,L1433872,S9846595
52,Canvasback,,Albany Mudflats,US-CA,06 Jan 2011,L484238,S9845691
53,Redhead,,Sacramento River NWR--Llano Seco Unit (viewing platform),US-CA,02 Jan 2009,L419591,S9839845
54,Common Pochard,,新宿区--新宿御苑 (Shinjuku Ward--Shinjuku Gyoen National Garden),JP-13,18 Nov 2010,L1416996,S9840272
55,Ring-necked Duck,,Gray Lodge Wildlife Area,US-CA,02 Jan 2009,L368257,S9839830
56,Ferruginous Duck,1,Kalindi Kinj Park,IN-DL,01 Dec 2015,L1089474,S26085818
57,Hardhead,1,Western Treatment Plant,AU-VIC,24 Sep 2011,L921850,S11312584
58,Tufted Duck,,新宿区--新宿御苑 (Shinjuku Ward--Shinjuku Gyoen National Garden),JP-13,18 Nov 2010,L1416996,S9840272
59,New Zealand Scaup,,Rotorua--Sulphur Point,NZ-BOP,28 Sep 2011,L595856,S9850004
60,Greater Scaup,1,Emeryville Marina,US-CA,28 Dec 2008,L764558,S9839692
61,Lesser Scaup,,Palo Alto Baylands,US-CA,10 Jan 2009,L152122,S9839883
62,Common Eider,4,Scarborough Marsh--Pine Point,US-ME,23 Jun 2013,L353732,S14523675
63,Harlequin Duck,1,Heron's Head Park,US-CA,19 Jan 2011,L502380,S9845786
64,Surf Scoter,,Cliff House,US-CA,11 Nov 2010,L355646,S9841004
65,White-winged Scoter,,Tomales Bay--east shore,US-CA,05 Feb 2012,L481709,S9847646
66,Common Scoter,1,Húsavík--hafnarsvæði (harbour area),IS-6,11 Aug 2015,L1106087,S24582078
67,Black Scoter,1,Richmond Marina,US-CA,07 Dec 2012,L615495,S12243635
68,Long-tailed Duck,1,Coyote Point County Park--harbor and marsh,US-CA,30 Jul 2012,L997003,S11247113
69,Bufflehead,,McLaughlin Eastshore SP--North Basin,US-CA,20 Nov 2008,L461333,S9839590
70,Common Goldeneye,,Berkeley Aquatic Park,US-CA,05 Jan 2009,L597003,S9839868
71,Barrow's Goldeneye,1,Davit Ln. pond,US-CA,17 Nov 2012,L1807009,S12398623
72,Hooded Merganser,,Golden Gate Park--Stow Lake,US-CA,10 Jan 2009,L499374,S9839890
73,Common Merganser,4,Île Rousseau,CH-GE,19 Aug 2010,L2768491,S9840249
74,Red-breasted Merganser,,Berkeley Aquatic Park,US-CA,30 Dec 2010,L597003,S9845685
75,Ruddy Duck,,Palo Alto Baylands,US-CA,10 Jan 2009,L152122,S9839883
76,Musk Duck,1,Western Treatment Plant,AU-VIC,24 Sep 2011,L921850,S11312584
77,Plain Chachalaca,11,Estero Llano Grande SP WBC (LTC 054),US-TX,04 Mar 2017,L259855,S34966789
78,Gray-headed Chachalaca,4,Río Tortí,PA-8,09 Apr 2018,L5641280,S44451671
79,Scaled Chachalaca,1,Itapoa,BR-SC,05 Dec 2010,L11341622,S9841342
80,Dusky-legged Guan,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
81,Mountain Quail,10,Feather River Meadows (private),US-CA,01 Jun 2013,L1417073,S14311990
82,Northern Bobwhite,1,Shaw Nature Reserve,US-MO,12 Jul 2015,L150420,S24236914
83,Scaled Quail,4,Lower Mt. Hopkins Rd (Santa Cruz Co.),US-AZ,21 Jul 2012,L1623890,S11247187
84,California Quail,,Golden Gate Park--San Francisco Botanical Garden,US-CA,03 Jan 2009,L1085740,S9839851
85,Gambel's Quail,12,Continental Wash,US-AZ,21 Jul 2012,L290800,S11247279
86,Montezuma Quail,2,Herb Martyr Rd 42A,US-AZ,15 Jul 2016,L1676616,S30716313
87,Indian Peafowl,3,Okhla Bird Sanctuary,IN-UP,01 Dec 2015,L2362886,S26084349
88,Green Peafowl,2,Hlawga Park,MM-06,11 Jan 2017,L1899362,S33606771
89,Chukar,,Haleakala NP--Leleiwi Lookout Trail,US-HI,23 Aug 2011,L735697,S9855177
90,Erckel's Francolin,3,"Pu'u La'au, Palila Discovery Trail and Ka'ohe GMA",US-HI,08 Apr 2019,L285813,S54728716
91,Black Francolin,4,"66-1665–66-1699 Puʻu Huluhulu Rd, Kamuela US-HI (20.0006,-155.6953)",US-HI,09 Apr 2019,L9012192,S54771700
92,Gray Francolin,,Kealia Pond NWR,US-HI,24 Aug 2011,L416929,S9855197
93,Red Junglefowl,,Tahiti - Arahurahu Marae,PF-WI,05 Nov 2013,L2411564,S15580022
94,Ring-necked Pheasant,,Sacramento NWR,US-CA,02 Jan 2009,L168785,S9839812
95,Brown Eared-Pheasant,8,Xuanzhong Temple,CN-14,21 Apr 2013,L2135801,S13878717
96,Kalij Pheasant,1,Kauhola Point,US-HI,07 Apr 2019,L9001449,S54700943
97,Gray Partridge,6,Ninepipe NWR,US-MT,31 Jul 2019,L247316,S58603629
98,Hazel Grouse,2,Val Fex,CH-GR,21 Jul 2018,L1416979,S47331622
99,Ruffed Grouse,1,Baxter SP,US-ME,28 Jun 2015,L296058,S24087858
100,Greater Sage-Grouse,45,Bodie SP,US-CA,29 Jul 2012,L577845,S11243340
101,Spruce Grouse,1,Baxter SP,US-ME,28 Jun 2015,L296058,S24087858
102,Dusky Grouse,1,Grand Teton NP--Signal Mt.,US-WY,28 Jul 2017,L771908,S38360711
103,Sooty Grouse,2,Feather River Meadows (private),US-CA,27 Jul 2014,L1417073,S19242742
104,Sharp-tailed Grouse,3,Sax-Zim Bog--Racek Rd. Sharp-tailed Grouse Lek,US-MN,23 Feb 2020,L5234233,S64895934
