Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Somali Ostrich,4,Aledeghi Wildlife Reserve,ET-AF,17 Feb 2018,L2846177,S58094299
2,Solitary Tinamou,1,PE Carlos Botelho--Mirante,BR-SP,11 Nov 2019,L4108252,S61861328
3,Great Tinamou,1,Canopy Tower locality,PA-8,21 Oct 2014,L9690908,S64937292
4,Berlepsch's Tinamou,1,RN Aguaclara,CO-VAC,03 Jul 2018,L4303937,S72092156
5,Little Tinamou,,Moyobamba area,PE-SAM,14 Oct 2012,L9695169,S64937187
6,Brown Tinamou,2,Guaraú--área geral,BR-SP,10 Nov 2019,L3532504,S62338118
7,Undulated Tinamou,,Reserva Natural Palmarí,BR-AM,23 Jun 2018,L3018622,S72502277
8,Yellow-legged Tinamou,3,Tapiraí--Estrada para o Legado das Águas,BR-SP,15 Nov 2019,L7783590,S61613845
9,Horned Screamer,3,Rio Amazonas--Isla Ronda,CO-AMA,28 Jun 2018,L465437,S64937520
10,Northern Screamer,2,"Puerto Triunfo, Antioquia, CO (5,881, -74,64)",CO-ANT,30 Jun 2019,L9577896,S57893451
11,White-faced Whistling-Duck,2,Lake Awassa--United Africa Shebelle Hotel area,ET-SN,27 Feb 2018,L2099157,S58093980
12,Black-bellied Whistling-Duck,30,El Fuerte,MX-SIN,27 Dec 2002,L3797811,S72501700
13,Lesser Whistling-Duck,30,Anawilundawa Bird Sanctuary,LK-6,02 Feb 2020,L7151861,S64034719
14,White-backed Duck,4,Lake Awassa--United Africa Shebelle Hotel area,ET-SN,27 Feb 2018,L2099157,S58093980
15,Bar-headed Goose,,Bhutan,BT-,28 Mar 2010,L3757282,S72501706
16,Snow Goose,,Terminous Tract (Hwy 12 from Terminous to Flag City,US-CA,05 Jan 2002,L9715481,S72093663
17,Ross's Goose,,Gray Lodge Wildlife Area,US-CA,03 Feb 2002,L368257,S72093654
18,Greater White-fronted Goose,,Terminous Tract (Hwy 12 from Terminous to Flag City,US-CA,05 Jan 2002,L9715481,S72093663
19,Brant,,Bodega Bay--harbor and immediate vicinity,US-CA,22 Jan 2006,L109489,S72093554
20,Cackling Goose,,Las Gallinas Valley Sanitary District,US-CA,16 Mar 2016,L207664,S65885738
21,Canada Goose,,Magee Marsh (Ottawa Co.),US-OH,15 May 1994,L275517,S72093718
22,Blue-winged Goose,3,Addis Ababa-Bahir Dar Rd.,ET-OR,12 Feb 2018,L6869163,S58094053
23,Mute Swan,,Las Gallinas Valley Sanitary District,US-CA,16 Mar 2016,L207664,S65885738
24,Tundra Swan,300,Terminous Tract (Hwy 12 from Terminous to Flag City,US-CA,05 Jan 2002,L9715481,S72093663
25,Knob-billed Duck,1,Lake Ziway--southwestern shore,ET-OR,18 Feb 2018,L1550649,S61036573
26,Egyptian Goose,12,Sululta Plain,ET-OR,12 Feb 2018,L1550637,S57747740
27,Ruddy Shelduck,,Bhutan,BT-,28 Mar 2010,L3757282,S72501706
28,Common Shelduck,2,Spain,ES-,29 Sep 2016,L3679729,S64937422
29,Spur-winged Goose,2,Lake Ziway--southwestern shore,ET-OR,18 Feb 2018,L1550649,S61036573
30,Muscovy Duck,2,Reserva Natural Palmarí,BR-AM,23 Jun 2018,L3018622,S72502277
31,Cotton Pygmy-Goose,5,Navadankulama Wewa,LK-6,02 Feb 2020,L6642539,S64036031
32,African Pygmy-Goose,2,Lake Ziway--southwestern shore,ET-OR,18 Feb 2018,L1550649,S61036573
33,Wood Duck,2,El Fuerte,MX-SIN,27 Dec 2002,L3797811,S72501700
34,Mandarin Duck,1,Golden Gate Park--North Lake,US-CA,13 Jan 2019,L370768,S72389228
35,Brazilian Teal,1,Arrozais de Tremembé--Estrada do Kanegae,BR-SP,17 Nov 2019,L2327379,S70570331
36,Torrent Duck,,Leymeamba to Choctamal Lodge,PE-AMA,08 Oct 2012,L9694359,S64937221
37,Garganey,5,Lake Coco,ET-OR,18 Feb 2018,L6961557,S61036581
38,Hottentot Teal,6,Lake Coco,ET-OR,18 Feb 2018,L6961557,S61036581
39,Blue-winged Teal,,Magee Marsh (Ottawa Co.),US-OH,15 May 1994,L275517,S72093718
40,Cinnamon Teal,,Grizzly Island Wildlife Area,US-CA,20 Jan 1991,L371137,S72093791
41,Northern Shoveler,,Pt. Pinole Regional Park,US-CA,06 Jan 1991,L109308,S72093793
42,Gadwall,,Grizzly Island Wildlife Area,US-CA,20 Jan 1991,L371137,S72093791
43,Eurasian Wigeon,,Bhutan,BT-,28 Mar 2010,L3757282,S72501706
44,American Wigeon,,Pt. Pinole Regional Park,US-CA,06 Jan 1991,L109308,S72093793
45,African Black Duck,2,Goba escarpment (Goba town to park gate),ET-OR,21 Feb 2018,L2099193,S61036542
46,Yellow-billed Duck,15,Sululta Plain,ET-OR,12 Feb 2018,L1550637,S57747740
47,Philippine Duck,20,Subic Bay,PH-BAN,03 Oct 2015,L921004,S64937456
48,Mallard,,Pt. Pinole Regional Park,US-CA,06 Jan 1991,L109308,S72093793
49,American Black Duck,6,Weskeag Marsh,US-ME,04 Aug 2017,L450156,S72092464
50,White-cheeked Pintail,12,Lima District,PE-LIM,04 Oct 2012,L9693967,S64937239
51,Northern Pintail,,Pt. Pinole Regional Park,US-CA,06 Jan 1991,L109308,S72093793
52,Green-winged Teal,,Grizzly Island Wildlife Area,US-CA,20 Jan 1991,L371137,S72093791
53,Red-crested Pochard,,Spain,ES-,28 Sep 2016,L3679729,S64937369
54,Canvasback,,Pt. Pinole Regional Park,US-CA,06 Jan 1991,L109308,S72093793
55,Redhead,1,Staten Island,US-CA,18 Nov 2017,L468580,S72148212
56,Common Pochard,,Bhutan,BT-,28 Mar 2010,L3757282,S72501706
57,Ring-necked Duck,,Terminous Tract (Hwy 12 from Terminous to Flag City,US-CA,05 Jan 2002,L9715481,S72093663
58,Ferruginous Duck,,Spain,ES-,29 Sep 2016,L3679729,S64937422
59,Tufted Duck,1,Golden Gate Park--Mallard Lake,US-CA,25 Feb 1990,L1352166,S71367712
60,Greater Scaup,,Pt. Pinole Regional Park,US-CA,06 Jan 1991,L109308,S72093793
61,Lesser Scaup,6,El Fuerte,MX-SIN,27 Dec 2002,L3797811,S72501700
