Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Black-bellied Whistling-Duck,7,US-TX-CAM-Harlingen-HRL Airport main entrance,US-TX,26 Feb 2014,L2693507,S17310423
2,Fulvous Whistling-Duck,1,Harlingen City Lake (LTC 025),US-TX,01 Mar 2014,L246731,S17311913
3,Snow Goose,800000,Sask,CA-SK,20 Oct 2009,L794424,S5469378
4,Ross's Goose,100000,Sask,CA-SK,20 Oct 2009,L794424,S5469378
5,Greater White-fronted Goose,1,Sask,CA-SK,20 Oct 2009,L794424,S5469378
6,Brant,15,South Bay Salt Works--interior & bay (restricted),US-CA,17 Nov 2012,L2047403,S12174491
7,Cackling Goose,1,T or C Hwy 51 bridge over Rio Grande,US-NM,04 Feb 2011,L1085765,S7563783
8,Canada Goose,500,Sask,CA-SK,20 Oct 2009,L794424,S5469378
9,Hawaiian Goose,3,Hanalei NWR -- Highway Overlook,US-HI,13 Jan 2013,L1169080,S12708672
10,Mute Swan,1,"NM, Sierra, Rotary Park",US-NM,11 Feb 2012,L1413176,S9815583
11,Black-necked Swan,1,Oak Grove Regional Park,US-CA,28 Aug 2020,L423445,S72958180
12,Trumpeter Swan,2,"Denali Hwy, Cantwell US-AK (63.3910,-148.6235)",US-AK,14 Jun 2017,L5976457,S37598262
13,Tundra Swan,200,Sask,CA-SK,20 Oct 2009,L794424,S5469378
14,Muscovy Duck,4,Ecoparque Aluxes,MX-CHP,12 Nov 2018,L5178438,S49933474
15,Wood Duck,4,Rio Grande Nature Center,US-NM,11 Nov 2009,L800461,S5520459
16,Mandarin Duck,1,"Central Park, Fremont US-CA 37.54343, -121.95950",US-CA,03 Mar 2020,L10893869,S65405062
17,Blue-winged Teal,18,County Line Lagoons,US-NM,28 Sep 2010,L870556,S6931713
18,Cinnamon Teal,12,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
19,Northern Shoveler,15,Sask,CA-SK,20 Oct 2009,L794424,S5469378
20,Gadwall,4,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
21,Eurasian Wigeon,1,Nome--Safety Sound,US-AK,19 Jun 2017,L209518,S37713394
22,American Wigeon,10,Sask,CA-SK,20 Oct 2009,L794424,S5469378
23,Hawaiian Duck,6,Hanalei NWR -- Highway Overlook,US-HI,13 Jan 2013,L1169080,S12708672
24,Mallard,2,Reno,US-NV,07 Jun 2009,L734962,S5075193
25,Mexican Duck,1,"NM Socorro, NWR, Marsh Loop",US-NM,10 Dec 2011,L812348,S9326525
26,American Black Duck,12,Scarborough River Wildlife Sanctuary,US-ME,09 Feb 2014,L1161895,S16856402
27,Mottled Duck,4,Estero Llano Grande SP WBC (LTC 054),US-TX,27 Feb 2014,L259855,S17310428
28,Northern Pintail,2,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
29,Green-winged Teal,10,Sask,CA-SK,20 Oct 2009,L794424,S5469378
30,Canvasback,45,Sask,CA-SK,20 Oct 2009,L794424,S5469378
31,Redhead,6,Sask,CA-SK,20 Oct 2009,L794424,S5469378
32,Ring-necked Duck,25,LVNWR,US-NM,08 Nov 2009,L799446,S5512501
33,Tufted Duck,1,"St Paul Island Airport, Saint Paul Island US-AK (57.1571,-170.2307)",US-AK,09 Jun 2017,L5982012,S37624892
34,Greater Scaup,15,Nokomis,CA-SK,23 Oct 2011,L1018966,S9173324
35,Lesser Scaup,12,Sask,CA-SK,20 Oct 2009,L794424,S5469378
36,Spectacled Eider,1,Nome--Safety Sound,US-AK,19 Jun 2017,L209518,S37713394
37,King Eider,4,"St Paul Island Airport, Saint Paul Island US-AK (57.1571,-170.2307)",US-AK,09 Jun 2017,L5982012,S37624892
38,Common Eider,12,Biddeford Pool--Mile Stretch Rd.,US-ME,10 Feb 2014,L595096,S16879697
39,Harlequin Duck,15,Dyer Point,US-ME,10 Feb 2014,L272667,S16879769
40,Surf Scoter,1,San Leandro Marina,US-CA,13 Apr 2010,L896740,S6346730
41,White-winged Scoter,8,Biddeford Pool--Mile Stretch Rd.,US-ME,10 Feb 2014,L595096,S16879697
42,Black Scoter,25,Biddeford Pool--Mile Stretch Rd.,US-ME,10 Feb 2014,L595096,S16879697
43,Long-tailed Duck,4,Biddeford Pool--Mile Stretch Rd.,US-ME,10 Feb 2014,L595096,S16879697
44,Bufflehead,1,Sask,CA-SK,20 Oct 2009,L794424,S5469378
45,Common Goldeneye,10,LVNWR,US-NM,08 Nov 2009,L799446,S5512501
46,Barrow's Goldeneye,1,"NM Rio Arriba, fishing ponds and area along the Rio Grande",US-NM,05 Jan 2013,L818642,S12519717
47,Hooded Merganser,2,LVNWR,US-NM,08 Nov 2009,L799446,S5512501
48,Common Merganser,8,LVNWR,US-NM,08 Nov 2009,L799446,S5512501
49,Red-breasted Merganser,1,Elephant Butte dirt marina,US-NM,04 Feb 2011,L1085788,S7564170
50,Ruddy Duck,45,LVNWR,US-NM,08 Nov 2009,L799446,S5512501
51,Plain Chachalaca,10,Estero Llano Grande SP WBC (LTC 054),US-TX,27 Feb 2014,L259855,S17310428
52,Crested Guan,1,"(18.3491,-89.8832)",MX-CAM,07 Nov 2018,L8194329,S50275391
53,Great Curassow,2,"(18.3491,-89.8832)",MX-CAM,07 Nov 2018,L8194329,S50275381
54,Mountain Quail,1,Carson Pass Highway,US-CA,13 Aug 2017,L6181662,S38641108
55,Scaled Quail,1,White Rock (generic),US-NM,23 Apr 2012,L1188038,S10528539
56,California Quail,6,Reno,US-NV,07 Jun 2009,L734962,S5075193
57,Gambel's Quail,6,Bosque HQ,US-NM,15 Jan 2011,L1067077,S7438073
58,Montezuma Quail,6,Rock Corral Canyon,US-AZ,03 Jan 2017,L1070018,S33417645
59,Chukar,1,Senior Condos,US-NM,01 Apr 2015,L3532099,S22640736
60,Erckel's Francolin,1,HI: Alakai Swamp Trail--Trailhead to Pihea Trail junction,US-HI,15 Jan 2013,L1426322,S12708514
61,Gray Francolin,3,"HI, Hawaii, Fairmont Orchid Hotel",US-HI,18 Jan 2013,L1900142,S12708718
62,Red Junglefowl,5,Kilauea Point NWR,US-HI,13 Jan 2013,L266182,S12708689
63,Ring-necked Pheasant,4,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
64,Gray Partridge,21,Nokomis,CA-SK,23 Oct 2011,L1018966,S9173324
65,Ruffed Grouse,1,State Game Lands 35,US-PA,25 Sep 2020,L728084,S74320829
66,Greater Sage-Grouse,2,"578–598 CR-23-225, Boulder US-WY 42.43173, -109.55392",US-WY,13 Jul 2020,L11890762,S71437180
67,Spruce Grouse,1,Route 3 -- Willow to Denali -- traveling,US-AK,12 Jun 2017,L5969153,S37603563
68,Willow Ptarmigan,1,"Denali Hwy, Cantwell US-AK (63.3910,-148.6235)",US-AK,14 Jun 2017,L5976457,S37598262
69,Rock Ptarmigan,1,Nome-Kougarok Road-MP N72,US-AK,18 Jun 2017,L1187160,S37713403
70,Dusky Grouse,3,Cabin,US-NM,11 Oct 2009,L789639,S5429557
71,Sharp-tailed Grouse,15,Sask,CA-SK,20 Oct 2009,L794424,S5469378
72,Wild Turkey,17,Cabin,US-NM,02 Oct 2010,L789639,S6953871
73,Ocellated Turkey,5,"(18.3491,-89.8832)",MX-CAM,07 Nov 2018,L8194329,S50275391
74,Chilean Flamingo,1,Coyote Hills Regional Park,US-CA,15 Jan 2020,L216132,S63427923
75,American Flamingo,6,Reserva de la Biosfera Ría Lagartos,MX-YUC,03 Nov 2018,L3788362,S50263610
76,Least Grebe,1,Estero Llano Grande SP WBC (LTC 054),US-TX,27 Feb 2014,L259855,S17310428
77,Pied-billed Grebe,1,SD Estuary,US-CA,12 Jun 2009,L746377,S5127751
78,Horned Grebe,1,Elephant Butte SP -- Three Sisters Pt.,US-NM,04 Feb 2011,L281053,S7571055
79,Red-necked Grebe,3,"CA, SK Triple T Beach",CA-SK,14 Oct 2013,L2408683,S15557279
80,Eared Grebe,25,LVNWR,US-NM,08 Nov 2009,L799446,S5512501
81,Western Grebe,6,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
82,Clark's Grebe,6,LVNWR,US-NM,08 Nov 2009,L799446,S5512501
83,Rock Pigeon,25,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
84,Pale-vented Pigeon,2,"(17.1803,-91.4832)",MX-CHP,11 Nov 2018,L8185784,S50219295
85,Red-billed Pigeon,2,Chichén Itzá--Hotel Mayaland,MX-YUC,03 Nov 2018,L900402,S50263255
86,Band-tailed Pigeon,,"Los Alamos, 2920 Arizona Avenue",US-NM,15 May 1983,L2575471,S17777145
87,Eurasian Collared-Dove,2,392 Navajo Road,US-NM,15 May 2009,L714012,S4981140
88,Spotted Dove,2,Napali Coast boat tour,US-HI,13 Jan 2013,L1900114,S12708605
89,Zebra Dove,2,Kawaiele State Waterbird Sanctuary,US-HI,13 Jan 2013,L469355,S12708628
