Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Black-bellied Whistling-Duck,5,Hornsby Bend (HOTE 037),US-TX,17-Oct-11,L130766,S58296993
2,Emperor Goose,1,Sharp Park Beaches,US-CA,28-Jan-17,L483011,S40458465
3,Snow Goose,,Terminous Tract (Hwy 12 from Terminous to Flag City,US-CA,5-Jan-02,L9715481,S58508847
4,Ross's Goose,,Gray Lodge Wildlife Area,US-CA,3-Feb-02,L368257,S58509000
5,Greater White-fronted Goose,,Terminous Tract (Hwy 12 from Terminous to Flag City,US-CA,5-Jan-02,L9715481,S58508847
6,Brant,,Pt. Reyes--Estero Trail,US-CA,15-Dec-01,L748933,S58403383
7,Cackling Goose,,Hayward Regional Shoreline--Mt. Trashmore,US-CA,17-Feb-07,L1024893,S58470560
8,Canada Goose,,Magee Marsh (Ottawa Co.),US-OH,15-May-94,L275517,S58532659
9,Mute Swan,,Dolph Nature Area,US-MI,21-May-95,L210751,S58409545
10,Trumpeter Swan,,Seney NWR,US-MI,27-Aug-98,L248863,S58410298
11,Tundra Swan,300,Terminous Tract (Hwy 12 from Terminous to Flag City,US-CA,5-Jan-02,L9715481,S58508847
12,Wood Duck,2,Dolph Nature Area,US-MI,28-Apr-95,L210751,S58410507
13,Mandarin Duck,1,Golden Gate Park--Stow Lake,US-CA,13-Jan-19,L499374,S51659127
14,Garganey,1,Bridgeway Island pond,US-CA,10-Mar-19,L473045,S53693443
15,Blue-winged Teal,,Magee Marsh (Ottawa Co.),US-OH,15-May-94,L275517,S58532659
16,Cinnamon Teal,,Pt. Reyes--Limantour Beach,US-CA,11-Nov-90,L590462,S58530622
17,Northern Shoveler,,Pt. Pinole Regional Park,US-CA,6-Jan-91,L109308,S58530130
18,Gadwall,,Grizzly Island Wildlife Area,US-CA,20-Jan-91,L371137,S58408912
19,Eurasian Wigeon,,Hayward Regional Shoreline--Frank's Dump,US-CA,19-Nov-03,L526261,S58508116
20,American Wigeon,,Liberty Bay,US-WA,26-Dec-90,L1886184,S58409039
21,Mallard,,Elkhorn Slough Reserve (NERR),US-CA,14-Apr-90,L353255,S58409339
22,American Black Duck,6,Weskeag Marsh,US-ME,4-Aug-17,L450156,S38569454
23,Northern Pintail,,Pt. Pinole Regional Park,US-CA,6-Jan-91,L109308,S58530130
24,Green-winged Teal,,Grizzly Island Wildlife Area,US-CA,20-Jan-91,L371137,S58408912
25,Canvasback,,Pt. Pinole Regional Park,US-CA,6-Jan-91,L109308,S58530130
26,Redhead,1,"Abbotts Lagoon, Inverness US-CA (38.1158,-122.9540)",US-CA,13-Nov-05,L8028217,S58504835
27,Ring-necked Duck,,Lake Solano County Park (SOL Co.),US-CA,6-Jan-01,L285964,S58559402
28,Tufted Duck,1,Golden Gate Park--Mallard Lake,US-CA,25-Feb-90,L1352166,S58409426
29,Greater Scaup,,Pt. Pinole Regional Park,US-CA,6-Jan-91,L109308,S58530130
30,Lesser Scaup,,Tule Lake NWR (SIS Co.),US-CA,23-Dec-05,L639242,S58505054
31,Common Eider,,"Boat trip, Jonesport - Machias Seal Island",US-ME,22-Jun-94,L759747,S58532236
32,Harlequin Duck,,Bainbridge Island Ferry Terminal,US-WA,23-Dec-05,L1925502,S58506090
33,Surf Scoter,,Liberty Bay,US-WA,26-Dec-90,L1886184,S58409039
34,White-winged Scoter,,Liberty Bay,US-WA,26-Dec-90,L1886184,S58409039
35,Black Scoter,,Ocean Beach--seawatch across from Oceanside Water Polution Plant,US-CA,9-Apr-11,L1022599,S58329492
36,Long-tailed Duck,2,Sutro Baths--seawatch,US-CA,30-Mar-08,L998431,S58468184
37,Bufflehead,,Pt. Reyes--Limantour Beach,US-CA,11-Nov-90,L590462,S58530622
38,Common Goldeneye,,Pt. Reyes--Limantour Beach,US-CA,11-Nov-90,L590462,S58530622
39,Barrow's Goldeneye,,Liberty Bay,US-WA,26-Dec-90,L1886184,S58409039
40,Hooded Merganser,,Liberty Bay,US-WA,26-Dec-90,L1886184,S58409039
41,Common Merganser,,Lake Solano County Park (SOL Co.),US-CA,6-Jan-01,L285964,S58559402
42,Red-breasted Merganser,,Liberty Bay,US-WA,26-Dec-90,L1886184,S58409039
