Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Snow Goose,450,Holland Tract,US-CA,10 Jan 2016,L593832,S26928869
2,Greater White-fronted Goose,80,Yardbirds,US-CA,04 Nov 2012,L1369174,S11960773
3,Brant,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
4,Cackling Goose,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
5,Canada Goose,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
6,Mute Swan,,Las Gallinas Valley Sanitary District,US-CA,10 Jan 2015,L207664,S21311104
7,Tundra Swan,,Grizzly Bay,US-CA,07 Jan 2007,L1183595,S69531687
8,Common Shelduck,5,Diaccia Botrona--Padule Aperto,IT-52,26 Jun 2019,L9635843,S58153618
9,Wood Duck,1,Las Gallinas Valley Sanitary District,US-CA,26 Sep 2015,L207664,S25184634
10,Blue-winged Teal,2,Las Gallinas Valley Sanitary District,US-CA,30 Mar 2013,L207664,S13591926
11,Cinnamon Teal,7,Las Gallinas Valley Sanitary District,US-CA,11 Nov 2012,L207664,S12017041
12,Northern Shoveler,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
13,Gadwall,3,McLaughlin Eastshore SP--Albany access,US-CA,23 Oct 2011,L2377313,S9003640
14,Eurasian Wigeon,2,McLaughlin Eastshore SP--Albany access,US-CA,23 Oct 2011,L2377313,S9003640
15,American Wigeon,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
16,Mallard,11,Rodeo Lagoon,US-CA,12 Oct 2002,L139567,S75350051
17,Northern Pintail,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
18,Green-winged Teal,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
19,Canvasback,12,Las Gallinas Valley Sanitary District,US-CA,01 Dec 2012,L207664,S12202480
