Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Black-bellied Whistling-Duck,,Bird Island,US-LA,19 Feb 2013,L933572,S16307236
2,Emperor Goose,1,Sharp Park Beaches,US-CA,11 Feb 2017,L483011,S34307872
3,Snow Goose,110,Sonny Bono Salton Sea NWR--Rock Hill Trail,US-CA,16 Jan 2009,L465122,S33563146
4,Ross's Goose,,Lake Elizabeth,US-CA,04 Dec 2008,L452554,S19245826
5,Greater White-fronted Goose,,Coyote Hills Regional Park,US-CA,16 Mar 2007,L216132,S19254052
6,Brant,3,Pigeon Pt.,US-CA,05 Jul 2012,L271476,S33642037
7,Cackling Goose,,Coyote Hills Regional Park,US-CA,16 Mar 2007,L216132,S19254052
8,Canada Goose,2,North Chagrin Nature Center Trails,US-OH,19 Apr 2003,L383892,S33483043
9,Mute Swan,2,Palace of Fine Arts,US-CA,02 Jul 2003,L553325,S33483271
10,Trumpeter Swan,2,Magee Marsh--Migratory Bird Center and Trails,US-OH,10 May 2016,L756392,S38431418
11,Tundra Swan,1,Woodbridge Ecological Reserve (Isenberg Crane Reserve),US-CA,24 Nov 2019,L299325,S61730674
12,Common Shelduck,3,宜蘭竹安IBA--塭底(Zhu'an IBA--Wendi),TW-ILA,29 Dec 2014,L2897595,S33769659
13,Wood Duck,6,North Chagrin Nature Center Trails,US-OH,19 Apr 2003,L383892,S33483043
14,Mandarin Duck,1,Lake Elizabeth,US-CA,19 Feb 2020,L452554,S64771157
15,Garganey,1,嘉義鰲鼓濕地IBA--南堤(Aogu Wetland IBA--South Area),TW-CYQ,01 Jan 2015,L1070437,S33772661
16,Blue-winged Teal,,Coyote Hills Regional Park,US-CA,06 Mar 2007,L216132,S19253902
17,Cinnamon Teal,,Coyote Hills Regional Park,US-CA,03 Dec 2006,L216132,S19317387
18,Northern Shoveler,,San Francisco Bay Trail--Coyote Creek Lagoon,US-CA,05 Jan 2006,L683229,S19271521
19,Gadwall,,Alameda Creek--Niles Staging Area,US-CA,30 Jan 2007,L2271521,S19317958
