Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Snow Goose,30,Arizona,US-AZ,24-Feb-18,L108915,S43159628
2,Ross's Goose,1,Moonglow Dairy,US-CA,17-Nov-18,L306035,S50006695
3,Greater White-fronted Goose,1,Arizona,US-AZ,24-Feb-18,L108915,S43159628
4,Brant,12,"Point Portrero 1359 Canal Blvd, Richmond US-CA (37.9066,-122.3713)",US-CA,24-Mar-19,L8912686,S54194905
5,Cackling Goose,4,Clifton Court Forebay,US-CA,25-Nov-18,L373440,S50213279
6,Canada Goose,8,"Wente Scout Reservation (39.4183,-123.2830)",US-CA,3-Jul-18,L7655657,S46963046
7,Mute Swan,2,Waterbird Regional Preserve (including McNabney Marsh),US-CA,21-Jan-19,L417835,S51898231
8,Tundra Swan,95,"CBC Sherman Island - Area 5 - NE Corner (38.1649,-121.5990)",US-CA,1-Jan-19,L8346561,S51193673
9,Wood Duck,2,EBMUD--Valle Vista Staging Area (permit required),US-CA,30-Mar-19,L596210,S54375475
10,Garganey,1,Bridgeway Island pond,US-CA,17-Mar-19,L473045,S53935337
11,Blue-winged Teal,1,Waterbird Regional Preserve (including McNabney Marsh),US-CA,23-Sep-18,L417835,S48703837
12,Cinnamon Teal,10,Arizona,US-AZ,24-Feb-18,L108915,S43159628
13,Northern Shoveler,50,Arizona,US-AZ,24-Feb-18,L108915,S43159628
14,Gadwall,10,Arizona,US-AZ,24-Feb-18,L108915,S43159628
15,Eurasian Wigeon,1,Arizona,US-AZ,24-Feb-18,L108915,S43159628
16,American Wigeon,300,Arizona,US-AZ,24-Feb-18,L108915,S43159628
17,Mallard,8,Edwin B. Forsythe NWR (formerly Brig),US-NJ,30-Jul-18,L109133,S47554169
18,Mexican Duck,1,Patagonia Lake SP--Birding Trail,US-AZ,6-Apr-19,L2064166,S54648489
19,American Black Duck,1,Edwin B. Forsythe NWR (formerly Brig),US-NJ,30-Jul-18,L109133,S47554169
20,Northern Pintail,100,Arizona,US-AZ,24-Feb-18,L108915,S43159628
21,Green-winged Teal,40,Arizona,US-AZ,24-Feb-18,L108915,S43159628
22,Canvasback,30,Hayward Regional Shoreline--Interpretive Center,US-CA,30-Dec-18,L587721,S51097167
23,Redhead,1,Lafayette Reservoir,US-CA,19-Dec-19,L212642,S62444037
24,Ring-necked Duck,35,Heather Farm Park,US-CA,24-Dec-18,L373922,S50926928
25,Greater Scaup,1,Heather Farm Park,US-CA,24-Dec-18,L373922,S50927126
26,Lesser Scaup,45,Clifton Court Forebay,US-CA,25-Nov-18,L373440,S50213279
27,Surf Scoter,3,Seacliff SB,US-CA,17-Nov-18,L638117,S49996499
28,White-winged Scoter,15,"1113 N Highway 101, Depoe Bay US-OR (44.8240,-124.0658)",US-OR,24-Sep-19,L9950313,S60081140
29,Black Scoter,1,Seacliff SB,US-CA,17-Nov-18,L638117,S49996499
30,Long-tailed Duck,1,Miller/Knox Regional Shoreline,US-CA,3-Feb-19,L593834,S52339130
31,Bufflehead,15,Upper Newport Bay--Back Bay Dr.,US-CA,9-Nov-18,L740881,S49809783
32,Common Goldeneye,40,Clifton Court Forebay,US-CA,25-Nov-18,L373440,S50213279
33,Barrow's Goldeneye,1,Bayfront Park (CC Co.),US-CA,5-Feb-20,L794123,S64157221
34,Hooded Merganser,4,Tilden Nature Area,US-CA,23-Dec-18,L1990362,S50899761
35,Common Merganser,2,"Moss Landing--Jetty Rd., north jetty & State Beach",US-CA,17-Nov-18,L256021,S50003089
36,Red-breasted Merganser,3,Seacliff SB,US-CA,17-Nov-18,L638117,S49996499
37,Ruddy Duck,15,Arizona,US-AZ,24-Feb-18,L108915,S43159628
38,California Quail,30,Mines Rd.--MP 4.05 (ALA Co.),US-CA,3-Oct-16,L1487752,S31960211
39,Gambel's Quail,1,Arizona,US-AZ,24-Feb-18,L108915,S43159628
40,Ring-necked Pheasant,1,Holland Tract,US-CA,18-Feb-19,L593832,S52880959
41,Wild Turkey,20,Mines Rd.--MP 4.05 (ALA Co.),US-CA,3-Oct-16,L1487752,S31960211
42,Pied-billed Grebe,1,Wente Pond,US-CA,16-Sep-18,L472834,S48543228
43,Horned Grebe,3,Seacliff SB,US-CA,17-Nov-18,L638117,S49996499
44,Red-necked Grebe,1,Seacliff SB,US-CA,17-Nov-18,L638117,S49996499
45,Eared Grebe,1,Upper Newport Bay--Back Bay Dr.,US-CA,9-Nov-18,L740881,S49809783
46,Western Grebe,1,Pt. Reyes--Drakes Beach (do not include Horseshoe Pond or beach/estero beyond Horseshoe Pond),US-CA,1-Sep-18,L391136,S48228772
47,Clark's Grebe,3,Pt. Isabel Regional Shoreline--mudflats,US-CA,25-Aug-18,L969109,S48070828
48,Rock Pigeon,10,Arizona,US-AZ,24-Feb-18,L108915,S43159628
49,Band-tailed Pigeon,2,Tilden Nature Area--Jewel Lake,US-CA,21-Apr-18,L503349,S44784756
50,Eurasian Collared-Dove,30,Mines Rd.--MP 4.05 (ALA Co.),US-CA,3-Oct-16,L1487752,S31960211
51,Inca Dove,9,Paton Center for Hummingbirds (Patons' Yard),US-AZ,25-Feb-18,L247122,S43177382
52,White-winged Dove,1,Arizona,US-AZ,24-Feb-18,L108915,S43159628
53,Mourning Dove,15,Mines Rd.--MP 4.05 (ALA Co.),US-CA,3-Oct-16,L1487752,S31960211
54,Greater Roadrunner,1,Mines Rd.--MP 4.05 (ALA Co.),US-CA,3-Oct-16,L1487752,S31960211
55,Yellow-billed Cuckoo,1,Cape Island--Higbee Beach WMA,US-NJ,2-Aug-18,L109135,S47604247
56,Lesser Nighthawk,2,Clifton Court Forebay,US-CA,22-May-20,L373440,S69490885
57,Common Poorwill,1,Mt. Diablo SP--Mitchell Canyon,US-CA,27-Apr-19,L275399,S55480559
58,Black Swift,3,Holland Tract,US-CA,20-May-20,L593832,S69376864
59,Chimney Swift,1,"4082 Bayshore Rd, Cape May US-NJ (38.9519,-74.9371)",US-NJ,2-Aug-18,L7779249,S47604250
60,Vaux's Swift,3,"75 Bacon Ct, Lafayette US-CA (37.9065,-122.0851)",US-CA,20-Sep-18,L7052095,S48640424
61,White-throated Swift,1,"75 Bacon Ct, Lafayette US-CA (37.9065,-122.0851)",US-CA,8-May-18,L7052095,S45473856
62,Rivoli's Hummingbird,1,Madera Canyon--Santa Rita Lodge,US-AZ,25-Feb-18,L268114,S43189544
63,Lucifer Hummingbird,2,Ash Canyon Bird Sanctuary (closed Thursday morning; formerly Ash Canyon B&B),US-AZ,7-Apr-19,L199300,S54692805
64,Ruby-throated Hummingbird,2,Edwin B. Forsythe NWR (formerly Brig),US-NJ,30-Jul-18,L109133,S47554169
65,Black-chinned Hummingbird,3,Madera Canyon--Santa Rita Lodge,US-AZ,6-Apr-19,L268114,S54634394
66,Anna's Hummingbird,4,Mines Rd.--MP 4.05 (ALA Co.),US-CA,3-Oct-16,L1487752,S31960211
67,Costa's Hummingbird,2,"5150 N Sabino Valley Pl, Tucson US-AZ (32.2982,-110.8280)",US-AZ,26-Feb-18,L6983768,S43205900
68,Broad-tailed Hummingbird,2,Ash Canyon Bird Sanctuary (closed Thursday morning; formerly Ash Canyon B&B),US-AZ,7-Apr-19,L199300,S54692805
69,Rufous Hummingbird,1,Paton Center for Hummingbirds (Patons' Yard),US-AZ,25-Feb-18,L247122,S43177382
70,Allen's Hummingbird,1,Tilden Nature Area--Jewel Lake,US-CA,21-Apr-18,L503349,S44784756
71,Calliope Hummingbird,2,Mt. Diablo SP--Mitchell Canyon,US-CA,20-Apr-19,L275399,S55176541
72,Broad-billed Hummingbird,1,"5150 N Sabino Valley Pl, Tucson US-AZ (32.2982,-110.8280)",US-AZ,26-Feb-18,L6983768,S43205900
73,Violet-crowned Hummingbird,1,Paton Center for Hummingbirds (Patons' Yard),US-AZ,25-Feb-18,L247122,S43177382
74,Ridgway's Rail,1,San Francisco Bay Trail--S 51st St.,US-CA,18-May-19,L1415714,S56451077
75,Clapper Rail,4,Edwin B. Forsythe NWR (formerly Brig),US-NJ,30-Jul-18,L109133,S47554169
76,Virginia Rail,2,Ironhouse Sanitary District,US-CA,15-Sep-18,L778165,S48521087
77,Sora,2,Upper Newport Bay--Back Bay Dr.,US-CA,9-Nov-18,L740881,S49809783
78,Common Gallinule,1,Heather Farm Park,US-CA,12-Feb-19,L373922,S52633974
79,American Coot,4,Mines Rd.--MP 4.05 (ALA Co.),US-CA,3-Oct-16,L1487752,S31960211
80,Black Rail,1,Ironhouse Sanitary District,US-CA,26-May-19,L778165,S56764593
81,Sandhill Crane,4000,Arizona,US-AZ,24-Feb-18,L108915,S43159628
82,Black-necked Stilt,5,Waterbird Regional Preserve (including McNabney Marsh),US-CA,23-Sep-18,L417835,S48703837
83,American Avocet,3,Waterbird Way pond,US-CA,23-Sep-18,L1923166,S48703855
84,American Oystercatcher,6,Cape Island--South Cape May Meadows (SCMM),US-NJ,9-Aug-19,L109136,S58854930
85,Black Oystercatcher,1,Pt. Reyes--Fish Docks,US-CA,1-Sep-18,L453386,S48227903
86,Black-bellied Plover,49,Meeker Slough,US-CA,25-Aug-18,L989047,S48063420
87,Pacific Golden-Plover,1,Meeker Slough,US-CA,29-Oct-20,L989047,S75561694
88,Snowy Plover,10,"Moss Landing--Jetty Rd., north jetty & State Beach",US-CA,17-Nov-18,L256021,S50003089
89,Semipalmated Plover,20,Edwin B. Forsythe NWR (formerly Brig),US-NJ,30-Jul-18,L109133,S47554169
90,Killdeer,30,Arizona,US-AZ,24-Feb-18,L108915,S43159628
91,Whimbrel,1,Upper Newport Bay--Back Bay Dr.,US-CA,9-Nov-18,L740881,S49809783
92,Long-billed Curlew,2,Pt. Isabel Regional Shoreline--mudflats,US-CA,25-Aug-18,L969109,S48070828
93,Bar-tailed Godwit,1,Emeryville shoreline--near fire station,US-CA,2-Nov-19,L1801585,S61129250
94,Marbled Godwit,15,Pt. Isabel Regional Shoreline,US-CA,25-Aug-18,L507756,S48061620
95,Ruddy Turnstone,1,Edwin B. Forsythe NWR (formerly Brig),US-NJ,5-Aug-19,L109133,S58766322
96,Black Turnstone,2,Hayward Regional Shoreline--Winton Ave. access and parking area,US-CA,30-Dec-18,L470891,S51089284
97,Red Knot,1,Edwin B. Forsythe NWR (formerly Brig),US-NJ,5-Aug-19,L109133,S58766322
98,Surfbird,10,Depoe Bay State Wayside/Depoe Bay Whale Watching Center,US-OR,24-Sep-19,L1412499,S60085144
99,Sanderling,1,Pt. Reyes--Drakes Beach (do not include Horseshoe Pond or beach/estero beyond Horseshoe Pond),US-CA,1-Sep-18,L391136,S48228772
100,Dunlin,1,Arizona,US-AZ,24-Feb-18,L108915,S43159628
101,Rock Sandpiper,1,Heron's Head Park,US-CA,7-Feb-20,L502380,S64208051
102,Baird's Sandpiper,2,West County Wastewater District--Sewage Ponds,US-CA,25-Aug-18,L848605,S48066399
103,Least Sandpiper,6,Arizona,US-AZ,24-Feb-18,L108915,S43159628
104,Buff-breasted Sandpiper,1,West County Wastewater District--Sewage Ponds,US-CA,25-Aug-18,L848605,S48066399
105,Pectoral Sandpiper,1,West County Wastewater District--Sewage Ponds,US-CA,13-Sep-20,L848605,S73633276
106,Semipalmated Sandpiper,200,Edwin B. Forsythe NWR (formerly Brig),US-NJ,30-Jul-18,L109133,S47554169
107,Western Sandpiper,3,Arizona,US-AZ,24-Feb-18,L108915,S43159628
