Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Black-bellied Whistling-Duck,40,"Unnamed Road, Provincia de Guanacaste, CR (9.967, -85.668)",CR-G,30 Jan 2020,L10653450,S63958251
2,Snow Goose,2,Hayward Regional Shoreline--Mt. Trashmore,US-CA,21 Jan 2017,L1024893,S33838918
3,Ross's Goose,1,Hayward Regional Shoreline--Mt. Trashmore,US-CA,04 Dec 2017,L1024893,S40913513
4,Greater White-fronted Goose,1,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,25 Nov 2015,L161083,S25998798
5,Brant,15,Point Reyes National Seashore,US-CA,06 Sep 2010,L4314773,S92011765
6,Cackling Goose,2000,Staten Island,US-CA,25 Oct 2015,L468580,S25546391
7,Canada Goose,7,McLaughlin Eastshore SP--Albany access,US-CA,02 Jul 2015,L2377313,S24130296
8,Mute Swan,9,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
9,Tundra Swan,11,Grizzly Island Wildlife Area,US-CA,14 Jan 2017,L371137,S33710657
10,Wood Duck,1,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
11,Mandarin Duck,1,Golden Gate Park--Stow Lake,US-CA,20 Jan 2018,L499374,S42105845
12,Blue-winged Teal,6,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,25 Nov 2015,L161083,S25998798
13,Cinnamon Teal,2,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
14,Northern Shoveler,3,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
15,Gadwall,20,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
16,Eurasian Wigeon,1,Hayward Regional Shoreline--Grant Ave. access,US-CA,03 Jan 2016,L749295,S26657197
17,American Wigeon,,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
18,Mallard,15,Brickyard Cove (ALA Co.),US-CA,21 Sep 2015,L1365042,S25127306
19,American Black Duck,5,Belle Haven Park--Picnic Area,US-VA,21 Dec 2017,L159284,S41229742
20,Northern Pintail,1,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,11 Oct 2015,L161083,S25385126
21,Green-winged Teal,5,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
22,Canvasback,3,Rotary Nature Center,US-CA,28 Oct 2015,L677049,S25580852
23,Redhead,1,Sierra Valley--Power Station,US-CA,02 Jun 2017,L2029167,S37333658
24,Ring-necked Duck,5,EBMUD--Valle Vista Staging Area (permit required),US-CA,23 Jan 2016,L596210,S27111475
25,Tufted Duck,1,Lake Merritt--outflow channel,US-CA,17 Jan 2022,L803642,S100949111
26,Greater Scaup,1,Elsie Roemer Bird Sanctuary,US-CA,10 Sep 2015,L509134,S24974712
